"KODEPILKADA","KDWIL","JENISPILKADA","TAHUN PILKADA","BPSKDPROV","PROVINSI","BPSKDKAB","KAB_KOT","NCALON","NO","CALON KEPALA DAERAH","JENIS KELAMIN1","CALON WAKIL KEPALA DAERAH","JENIS KELAMIN2","SUARA FINAL","PCTSUARA","RANKING","MENANG","INCUMBENT","WAKIL INCUMBENT","PARTAI PENDUKUNG","MAJU LEWAT","KURSIPARTAI","PCTKURSI","PDIP","GOLKAR","GERINDRA","DEMOKRAT","PKB","NASDEM","PAN","PKS","PPP","HANURA","PBB","PKPI","PERINDO","BERKARYA","PSI","GARUDA","UMMAT","GELORA","BURUH","PKN","PKNU","PMB","PPDI","PARTAI ACEH (PA)","PARTAI NANGGROE ACEH (PNA)","PARTAI NASIONAL ACEH","PARTAI DARUL ACEH (PD ACEH)","PARTAI SIRA","PARTAI GENERASI ATJEH BEUSABOH THAAT DAN TAQWA","PARTAI ADIL SEJAHTERA ACEH","PARTAI DAMAI ACEH (PDA)","T1","T2","T3","T4","T5","PE2013","PE2014","PE2015","PE2016","PE2017","PE2018","PE2019","PE2020","PE2021","PE2022","INCUMBENTXT5","","","","",""
"PROV-11-1-2017","11","Gubernur","2017","11","ACEH","","","6","1","Ir. H. Tarmizi A. Karim, M.Sc.","L","Ir. H. T. Machsalmina Ali, M.M.","L","406865","16.848737581839","3","0","0","0","Golkar, NasDem, PPP","PARTAI","23","31.506849315068","0","9","0","0","0","8","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.61","1.55","-0.73","3.29","4.18","2.61","1.55","-0.73","3.29","4.18","4.61","4.14","-0.37","2.81","4.21","0","","","","KAB-1101-1-2017","19"
"PROV-11-1-2017","11","Gubernur","2017","11","ACEH","","","6","2","ZAKARIA SAMAN","L","Ir. H. T. ALAIDINSYAH, M.Eng","L","132981","5.5068928818416","5","0","0","0","0","INDEPENDEN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.61","1.55","-0.73","3.29","4.18","2.61","1.55","-0.73","3.29","4.18","4.61","4.14","-0.37","2.81","4.21","0","","","","KAB-1102-1-2017","23"
"PROV-11-1-2017","11","Gubernur","2017","11","ACEH","","","6","3","Dr. Ir. H. Abdullah Puteh, M.Si","L","Sayed Mustafa Usab Al-Idroes, SE, M.Si","L","41908","1.735457447998","6","0","0","0","0","INDEPENDEN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.61","1.55","-0.73","3.29","4.18","2.61","1.55","-0.73","3.29","4.18","4.61","4.14","-0.37","2.81","4.21","0","","","","KAB-1103-1-2018","29"
"PROV-11-1-2017","11","Gubernur","2017","11","ACEH","","","6","4","dr. H. ZAINI ABDULLAH","L","Ir. H. NASARUDDIN, MM","L","167910","6.9533420848845","4","0","1","0","0","INDEPENDEN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.61","1.55","-0.73","3.29","4.18","2.61","1.55","-0.73","3.29","4.18","4.61","4.14","-0.37","2.81","4.21","4.18","","","","KAB-1104-1-2017","30"
"PROV-11-1-2017","11","Gubernur","2017","11","ACEH","","","6","5","H. Muzakir Manaf","L","Ir. H. T.A. Khalid, M.M","L","766427","31.738604693537","2","0","0","1","Partai Aceh, PKS, Gerindra_x000D_
PBB","PARTAI","37","50.684931506849","0","0","3","0","0","0","0","4","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","29","0","0","0","0","0","0","0","2.61","1.55","-0.73","3.29","4.18","2.61","1.55","-0.73","3.29","4.18","4.61","4.14","-0.37","2.81","4.21","0","","","","KAB-1105-1-2017","38"
"PROV-11-1-2017","11","Gubernur","2017","11","ACEH","","","6","6","Drh. H. Irwandi Yusuf, M.Sc","L","Ir. H. Nova Iriansyah, MT.","L","898719","37.2169653099","1","1","0","0","Partai Nasional Aceh,Demokrat,PartaiDamaiAceh,PKB,PDIP","PARTAI","13","17.808219178082","0","0","0","8","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","1","2.61","1.55","-0.73","3.29","4.18","2.61","1.55","-0.73","3.29","4.18","4.61","4.14","-0.37","2.81","4.21","0","","","","KAB-1106-1-2017","30"
"PROV-12-1-2018","12","Gubernur","2018","12","SUMATERA UTARA","","","2","1","Edy Rahmayadi","L","Musa Rajekshah","L","3291137","57.576647142272","1","1","0","0","Nasdem, Hanura, Golkar, PKS, PAN, Gerindra","PARTAI","60","75","0","17","13","0","0","5","6","9","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.23","5.1","5.18","5.12","5.18","6.07","5.23","5.1","5.18","5.12","5.18","5.22","-1.07","2.61","4.73","0","","","","KAB-1107-1-2017","25"
"PROV-12-1-2018","12","Gubernur","2018","12","SUMATERA UTARA","","","2","2","Djarot Saiful Hidayat","L","Sihar Sitorus","L","2424960","42.423352857728","2","0","0","0","PDIP dan PPP","PARTAI","20","25","16","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.23","5.1","5.18","5.12","5.18","6.07","5.23","5.1","5.18","5.12","5.18","5.22","-1.07","2.61","4.73","0","","","","KAB-1108-1-2017","30"
"PROV-13-1-2020","13","Gubernur","2020","13","SUMATERA BARAT","","","4","1","Ir. H. Mulyadi","L","Drs. H. Ali Mukhni","L","614477","27.416195658576","3","0","0","0","Demokrat, PAN","PARTAI","20","32.258064516129","0","0","0","10","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.27","5.3","5.14","5.01","-1.61","6.08","5.88","5.53","5.27","5.3","5.14","5.01","-1.61","3.29","4.36","-0","","","","KAB-1109-1-2017","23"
"PROV-13-1-2020","13","Gubernur","2020","13","SUMATERA BARAT","","","4","2","Drs. H. Nasrul Abit","L","Dr. Ir. H. Indra Catri, M.T.","L","679069","30.298104843099","2","0","0","1","Gerindra","PARTAI","14","22.58064516129","0","0","14","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.27","5.3","5.14","5.01","-1.61","6.08","5.88","5.53","5.27","5.3","5.14","5.01","-1.61","3.29","4.36","-0","","","","KAB-1110-1-2017","21"
